,n_chunks,num_silent_chunks,total_silence_len,num_child_chunks,total_child_len,num_engaged_chunks,duration_engaged,num_disengaged_chunks,duration_disengaged,num_adult_chunks,total_adult_len,audio
0,339,149,4412800,88,3788000,35,2112000,53,1676000,102,6996000,P12_S1.wav
0,208,97,2548800,74,4392000,57,3976000,17,416000,37,2360000,P14_S1.wav
0,167,82,2300800,56,3348000,38,2940000,18,408000,29,2208000,P15_S1.wav
0,213,70,5128000,37,2112000,24,1472000,13,640000,106,2704800,P18_S1.wav
0,245,0,0,150,7440000,111,6928000,39,512000,95,2244800,P24_S2.wav
0,253,56,3184000,73,3376000,55,3056000,18,320000,124,4424800,P21_S3.wav
0,93,24,1008000,26,1776000,24,1744000,2,32000,43,1552800,P18_S3.wav
0,197,81,2300800,64,2884000,54,2736000,10,148000,52,2976000,P13_S3.wav
0,158,40,2184800,41,2556000,38,2532000,3,24000,77,2148000,P44_S2.wav
0,138,58,1544800,34,2700000,32,2680000,2,20000,46,1432000,P46_S2.wav
0,277,117,3404800,102,5656000,75,5284000,27,372000,58,3152000,P39_S3.wav
0,266,118,2992800,96,5532000,62,4952000,34,580000,52,3000000,P25_S3.wav
0,177,0,0,117,4964000,39,3088000,78,1876000,60,2408800,P40_S3.wav
0,209,71,1696800,60,2836000,51,2748000,9,88000,78,2932000,P28_S3.wav
0,212,67,2192000,59,3744000,43,3492000,16,252000,86,2832800,P34_S2.wav
0,187,0,0,95,4724000,86,4628000,9,96000,92,3288800,P22_S3.wav
0,208,54,1536000,97,2500000,11,352000,86,2148000,57,2744800,P5_S1.wav
0,202,53,2804000,101,2588000,7,276000,94,2312000,48,2220800,P6_S1.wav
0,163,76,2336800,49,2768000,36,2488000,13,280000,38,2512000,P7_S1.wav
0,227,107,3140800,62,3408000,46,2932000,16,476000,58,2872000,P8_S1.wav
0,169,80,2392800,50,2608000,29,1808000,21,800000,39,2360000,P9_S1.wav
0,171,67,2720800,63,2384000,19,1292000,44,1092000,41,3056000,P11_S1.wav
0,322,144,4808800,118,6788000,29,2696000,89,4092000,60,3932000,P13_S1.wav
0,276,81,3788000,57,3320000,10,432000,47,2888000,138,3808800,P17_S1.wav
0,371,132,6816800,131,2892000,15,324000,116,2568000,108,2200000,P19_S1.wav
0,574,0,0,453,19540000,38,1936000,415,17604000,121,3324800,P20_S1.wav
0,306,106,4476000,117,4612000,1,4000,116,4608000,83,3436800,P21_S1.wav
0,231,0,0,165,5060000,77,3028000,88,2032000,66,3620800,P22_S1.wav
0,403,176,4468800,153,6624000,63,3748000,90,2876000,74,3072000,P25_S1.wav
0,300,128,3172800,101,4372000,65,3504000,36,868000,71,2844000,P27_S1.wav
0,152,65,3408800,53,2356000,18,1296000,35,1060000,34,2088000,P5_S2.wav
0,308,79,6012000,81,2552000,33,1056000,48,1496000,148,3644800,P6_S2.wav
0,221,0,0,125,5804000,62,3984000,63,1820000,96,4380800,P26_S1.wav
0,153,0,0,86,4952000,54,3884000,32,1068000,67,2180800,P24_S1.wav
0,164,0,0,89,4604000,70,4240000,19,364000,75,1816800,P28_S1.wav
0,337,107,7116000,63,2376000,19,884000,44,1492000,167,4652800,P33_S1.wav
0,243,73,2504000,116,2696000,33,1216000,83,1480000,54,1424800,P11_S2.wav
0,316,148,3236800,125,7696000,39,3472000,86,4224000,43,2524000,P30_S1.wav
0,230,0,0,119,7056000,5,256000,114,6800000,111,3224800,P32_S1.wav
0,161,77,2284800,44,2476000,6,424000,38,2052000,40,2560000,P35_S1.wav
0,304,122,4544000,107,5148000,65,3636000,42,1512000,75,2760800,P9_S2.wav
0,134,0,0,83,3884000,47,2912000,36,972000,51,2944800,P18_S2.wav
0,86,37,1516000,18,716000,5,192000,13,524000,31,1536800,P12_S2.wav
0,226,0,0,112,7792000,43,2524000,69,5268000,114,2796800,P17_S2.wav
0,222,0,0,121,6092000,36,2456000,85,3636000,101,3044800,P36_S1.wav
